"Modes of travel";"Population";"Margins";"Region characteristics";"ds";"y"
"Bike";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"     2.9"
"Bike";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"     2.5"
"Bike";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"     2.5"
"Bike";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"     3.1"
"Bike";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"     3.0"
"Bike";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"     3.9"
"Bike";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"     3.8"
"Bike";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"     3.6"
"Bike";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"     3.6"
"Bike";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"     4.1"
"Bike";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"     3.8"
"Bike";"Population 6 years or older";"Value";"Not urbanised";"2018";"     1.4"
"Bike";"Population 6 years or older";"Value";"Not urbanised";"2019";"     1.3"
"Bike";"Population 6 years or older";"Value";"Not urbanised";"2020";"     1.2"
"Bike";"Population 6 years or older";"Value";"Not urbanised";"2021";"     1.3"
"Bike";"Population 6 years or older";"Value";"Not urbanised";"2022";"     1.3"
"Bike";"Population 6 years or older";"Value";"Not urbanised";"2023";"     1.2"
"Walking";"Population 6 years or older";"Value";"The Netherlands";"2018";"     5.2"
"Walking";"Population 6 years or older";"Value";"The Netherlands";"2019";"     5.2"
"Walking";"Population 6 years or older";"Value";"The Netherlands";"2020";"     6.6"
"Walking";"Population 6 years or older";"Value";"The Netherlands";"2021";"     8.2"
"Walking";"Population 6 years or older";"Value";"The Netherlands";"2022";"     7.2"
"Walking";"Population 6 years or older";"Value";"The Netherlands";"2023";"     6.9"
"Walking";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"     0.4"
"Walking";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"     0.5"
"Walking";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"     0.6"
"Walking";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"     0.7"
"Walking";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"     0.7"
"Walking";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"     0.7"
"Walking";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"     1.0"
"Walking";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"     1.0"
"Walking";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"     1.3"
"Walking";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"     1.6"
"Walking";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"     1.5"
"Walking";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"     1.4"
"Walking";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"     2.6"
"Walking";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"     2.6"
"Walking";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"     3.2"
"Walking";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"     4.0"
"Walking";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"     3.6"
"Walking";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"     3.4"
"Walking";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"     1.1"
"Walking";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"     1.1"
"Walking";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"     1.5"
"Walking";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"     1.8"
"Walking";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"     1.5"
"Walking";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"     1.5"
"Walking";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     0.1"
"Walking";"Population 6 years or older";"Value";"Groningen (PV)";"2019";"     0.2"
"Walking";"Population 6 years or older";"Value";"Groningen (PV)";"2020";"     0.2"
"Walking";"Population 6 years or older";"Value";"Groningen (PV)";"2021";"     0.3"
"Walking";"Population 6 years or older";"Value";"Groningen (PV)";"2022";"     0.2"
"Walking";"Population 6 years or older";"Value";"Groningen (PV)";"2023";"     0.2"
"Walking";"Population 6 years or older";"Value";"Fryslân (PV)";"2018";"     0.2"
"Walking";"Population 6 years or older";"Value";"Fryslân (PV)";"2019";"     0.2"
"Walking";"Population 6 years or older";"Value";"Fryslân (PV)";"2020";"     0.2"
"Walking";"Population 6 years or older";"Value";"Fryslân (PV)";"2021";"     0.3"
"Walking";"Population 6 years or older";"Value";"Fryslân (PV)";"2022";"     0.3"
"Walking";"Population 6 years or older";"Value";"Fryslân (PV)";"2023";"     0.2"
"Walking";"Population 6 years or older";"Value";"Drenthe (PV)";"2018";"     0.1"
"Walking";"Population 6 years or older";"Value";"Drenthe (PV)";"2019";"     0.2"
"Walking";"Population 6 years or older";"Value";"Drenthe (PV)";"2020";"     0.2"
"Walking";"Population 6 years or older";"Value";"Drenthe (PV)";"2021";"     0.2"
"Walking";"Population 6 years or older";"Value";"Drenthe (PV)";"2022";"     0.2"
"Walking";"Population 6 years or older";"Value";"Drenthe (PV)";"2023";"     0.2"
"Walking";"Population 6 years or older";"Value";"Overijssel (PV)";"2018";"     0.3"
"Walking";"Population 6 years or older";"Value";"Overijssel (PV)";"2019";"     0.3"
"Walking";"Population 6 years or older";"Value";"Overijssel (PV)";"2020";"     0.4"
"Walking";"Population 6 years or older";"Value";"Overijssel (PV)";"2021";"     0.5"
"Walking";"Population 6 years or older";"Value";"Overijssel (PV)";"2022";"     0.5"
"Walking";"Population 6 years or older";"Value";"Overijssel (PV)";"2023";"     0.4"
"Walking";"Population 6 years or older";"Value";"Flevoland (PV)";"2018";"     0.1"
"Walking";"Population 6 years or older";"Value";"Flevoland (PV)";"2019";"     0.1"
"Walking";"Population 6 years or older";"Value";"Flevoland (PV)";"2020";"     0.1"
"Walking";"Population 6 years or older";"Value";"Flevoland (PV)";"2021";"     0.2"
"Walking";"Population 6 years or older";"Value";"Flevoland (PV)";"2022";"     0.2"
"Walking";"Population 6 years or older";"Value";"Flevoland (PV)";"2023";"     0.2"
"Walking";"Population 6 years or older";"Value";"Gelderland (PV)";"2018";"     0.6"
"Walking";"Population 6 years or older";"Value";"Gelderland (PV)";"2019";"     0.6"
"Walking";"Population 6 years or older";"Value";"Gelderland (PV)";"2020";"     0.8"
"Walking";"Population 6 years or older";"Value";"Gelderland (PV)";"2021";"     1.0"
"Walking";"Population 6 years or older";"Value";"Gelderland (PV)";"2022";"     0.8"
"Walking";"Population 6 years or older";"Value";"Gelderland (PV)";"2023";"     0.8"
"Walking";"Population 6 years or older";"Value";"Utrecht (PV)";"2018";"     0.4"
"Walking";"Population 6 years or older";"Value";"Utrecht (PV)";"2019";"     0.4"
"Walking";"Population 6 years or older";"Value";"Utrecht (PV)";"2020";"     0.5"
"Walking";"Population 6 years or older";"Value";"Utrecht (PV)";"2021";"     0.6"
"Walking";"Population 6 years or older";"Value";"Utrecht (PV)";"2022";"     0.6"
"Walking";"Population 6 years or older";"Value";"Utrecht (PV)";"2023";"     0.5"
"Walking";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2018";"     0.9"
"Walking";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2019";"     0.9"
"Walking";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2020";"     1.1"
"Walking";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2021";"     1.4"
"Walking";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2022";"     1.3"
"Walking";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2023";"     1.2"
"Walking";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2018";"     1.2"
"Walking";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2019";"     1.2"
"Walking";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2020";"     1.4"
"Walking";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2021";"     1.8"
"Walking";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2022";"     1.5"
"Walking";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2023";"     1.6"
"Walking";"Population 6 years or older";"Value";"Zeeland (PV)";"2018";"     0.1"
"Walking";"Population 6 years or older";"Value";"Zeeland (PV)";"2019";"     0.1"
"Walking";"Population 6 years or older";"Value";"Zeeland (PV)";"2020";"     0.1"
"Walking";"Population 6 years or older";"Value";"Zeeland (PV)";"2021";"     0.2"
"Walking";"Population 6 years or older";"Value";"Zeeland (PV)";"2022";"     0.2"
"Walking";"Population 6 years or older";"Value";"Zeeland (PV)";"2023";"     0.1"
"Walking";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2018";"     0.7"
"Walking";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2019";"     0.7"
"Walking";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2020";"     1.0"
"Walking";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2021";"     1.2"
"Walking";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2022";"     1.0"
"Walking";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2023";"     1.0"
"Walking";"Population 6 years or older";"Value";"Limburg (PV)";"2018";"     0.4"
"Walking";"Population 6 years or older";"Value";"Limburg (PV)";"2019";"     0.4"
"Walking";"Population 6 years or older";"Value";"Limburg (PV)";"2020";"     0.5"
"Walking";"Population 6 years or older";"Value";"Limburg (PV)";"2021";"     0.6"
"Walking";"Population 6 years or older";"Value";"Limburg (PV)";"2022";"     0.5"
"Walking";"Population 6 years or older";"Value";"Limburg (PV)";"2023";"     0.5"
"Walking";"Population 6 years or older";"Value";"Extremely urbanised";"2018";"     1.5"
"Walking";"Population 6 years or older";"Value";"Extremely urbanised";"2019";"     1.5"
"Walking";"Population 6 years or older";"Value";"Extremely urbanised";"2020";"     1.8"
"Walking";"Population 6 years or older";"Value";"Extremely urbanised";"2021";"     2.4"
"Walking";"Population 6 years or older";"Value";"Extremely urbanised";"2022";"     2.1"
"Walking";"Population 6 years or older";"Value";"Extremely urbanised";"2023";"     2.0"
"Walking";"Population 6 years or older";"Value";"Strongly urbanised";"2018";"     1.6"
"Walking";"Population 6 years or older";"Value";"Strongly urbanised";"2019";"     1.6"
"Walking";"Population 6 years or older";"Value";"Strongly urbanised";"2020";"     2.1"
"Walking";"Population 6 years or older";"Value";"Strongly urbanised";"2021";"     2.4"
"Walking";"Population 6 years or older";"Value";"Strongly urbanised";"2022";"     2.2"
"Walking";"Population 6 years or older";"Value";"Strongly urbanised";"2023";"     2.1"
"Walking";"Population 6 years or older";"Value";"Moderately urbanised";"2018";"     0.8"
"Walking";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"     0.8"
"Walking";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"     1.0"
"Walking";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"     1.1"
"Walking";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"     1.1"
"Walking";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"     1.1"
"Walking";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"     1.0"
"Walking";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"     1.0"
"Walking";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"     1.3"
"Walking";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"     1.7"
"Walking";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"     1.4"
"Walking";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"     1.3"
"Walking";"Population 6 years or older";"Value";"Not urbanised";"2018";"     0.3"
"Walking";"Population 6 years or older";"Value";"Not urbanised";"2019";"     0.3"
"Walking";"Population 6 years or older";"Value";"Not urbanised";"2020";"     0.5"
"Walking";"Population 6 years or older";"Value";"Not urbanised";"2021";"     0.6"
"Walking";"Population 6 years or older";"Value";"Not urbanised";"2022";"     0.4"
"Walking";"Population 6 years or older";"Value";"Not urbanised";"2023";"     0.4"
"Other";"Population 6 years or older";"Value";"The Netherlands";"2018";"    17.6"
"Other";"Population 6 years or older";"Value";"The Netherlands";"2019";"    17.9"
"Other";"Population 6 years or older";"Value";"The Netherlands";"2020";"    12.1"
"Other";"Population 6 years or older";"Value";"The Netherlands";"2021";"    14.7"
"Other";"Population 6 years or older";"Value";"The Netherlands";"2022";"    15.0"
"Other";"Population 6 years or older";"Value";"The Netherlands";"2023";"    13.4"
"Other";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"     2.5"
"Other";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"     2.3"
"Other";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"     1.5"
"Other";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"     1.8"
"Other";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"     2.0"
"Other";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"     1.9"
"Other";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"     4.2"
"Other";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"     4.7"
"Other";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"     3.0"
"Other";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"     4.0"
"Other";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"     3.5"
"Other";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"     3.3"
"Other";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"     6.8"
"Other";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"     7.6"
"Other";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"     5.3"
"Other";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"     6.1"
"Other";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"     6.1"
"Other";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"     5.7"
"Other";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"     4.1"
"Other";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"     3.4"
"Other";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"     2.3"
"Other";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"     2.8"
"Other";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"     3.3"
"Other";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"     2.5"
"Other";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     0.8"
"Other";"Population 6 years or older";"Value";"Groningen (PV)";"2019";"     0.5"
"Other";"Population 6 years or older";"Value";"Groningen (PV)";"2020";"     0.4"
"Other";"Population 6 years or older";"Value";"Groningen (PV)";"2021";"     0.5"
"Other";"Population 6 years or older";"Value";"Groningen (PV)";"2022";"     0.6"
"Other";"Population 6 years or older";"Value";"Groningen (PV)";"2023";"       ."
"Other";"Population 6 years or older";"Value";"Fryslân (PV)";"2018";"     1.1"
"Other";"Population 6 years or older";"Value";"Fryslân (PV)";"2019";"     1.0"
"Other";"Population 6 years or older";"Value";"Fryslân (PV)";"2020";"     0.7"
"Other";"Population 6 years or older";"Value";"Fryslân (PV)";"2021";"     0.6"
"Other";"Population 6 years or older";"Value";"Fryslân (PV)";"2022";"     0.8"
"Other";"Population 6 years or older";"Value";"Fryslân (PV)";"2023";"     0.8"
"Other";"Population 6 years or older";"Value";"Drenthe (PV)";"2018";"     0.6"
"Other";"Population 6 years or older";"Value";"Drenthe (PV)";"2019";"     0.7"
"Other";"Population 6 years or older";"Value";"Drenthe (PV)";"2020";"       ."
"Other";"Population 6 years or older";"Value";"Drenthe (PV)";"2021";"     0.7"
"Other";"Population 6 years or older";"Value";"Drenthe (PV)";"2022";"       ."
"Other";"Population 6 years or older";"Value";"Drenthe (PV)";"2023";"     0.7"
"Other";"Population 6 years or older";"Value";"Overijssel (PV)";"2018";"     1.6"
"Other";"Population 6 years or older";"Value";"Overijssel (PV)";"2019";"     1.6"
"Other";"Population 6 years or older";"Value";"Overijssel (PV)";"2020";"     0.9"
"Other";"Population 6 years or older";"Value";"Overijssel (PV)";"2021";"     1.1"
"Other";"Population 6 years or older";"Value";"Overijssel (PV)";"2022";"     1.3"
"Other";"Population 6 years or older";"Value";"Overijssel (PV)";"2023";"     1.1"
"Other";"Population 6 years or older";"Value";"Flevoland (PV)";"2018";"     0.5"
"Other";"Population 6 years or older";"Value";"Flevoland (PV)";"2019";"       ."
"Other";"Population 6 years or older";"Value";"Flevoland (PV)";"2020";"       ."
"Other";"Population 6 years or older";"Value";"Flevoland (PV)";"2021";"     0.5"
"Other";"Population 6 years or older";"Value";"Flevoland (PV)";"2022";"       ."
"Other";"Population 6 years or older";"Value";"Flevoland (PV)";"2023";"     0.4"
"Other";"Population 6 years or older";"Value";"Gelderland (PV)";"2018";"     2.1"
"Other";"Population 6 years or older";"Value";"Gelderland (PV)";"2019";"     2.6"
"Other";"Population 6 years or older";"Value";"Gelderland (PV)";"2020";"     1.7"
"Other";"Population 6 years or older";"Value";"Gelderland (PV)";"2021";"     2.4"
"Other";"Population 6 years or older";"Value";"Gelderland (PV)";"2022";"     1.8"
"Other";"Population 6 years or older";"Value";"Gelderland (PV)";"2023";"     1.8"
"Other";"Population 6 years or older";"Value";"Utrecht (PV)";"2018";"     0.9"
"Other";"Population 6 years or older";"Value";"Utrecht (PV)";"2019";"     1.1"
"Other";"Population 6 years or older";"Value";"Utrecht (PV)";"2020";"     1.0"
"Other";"Population 6 years or older";"Value";"Utrecht (PV)";"2021";"     1.0"
"Other";"Population 6 years or older";"Value";"Utrecht (PV)";"2022";"     1.0"
"Other";"Population 6 years or older";"Value";"Utrecht (PV)";"2023";"     0.8"
"Other";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2018";"     2.4"
"Other";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2019";"     2.7"
"Other";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2020";"     1.7"
"Other";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2021";"     1.6"
"Other";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2022";"     2.1"
"Other";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2023";"     2.0"
"Other";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2018";"     3.1"
"Other";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2019";"     3.4"
"Other";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2020";"     2.1"
"Other";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2021";"     2.9"
"Other";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2022";"     2.5"
"Other";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2023";"     2.6"
"Other";"Population 6 years or older";"Value";"Zeeland (PV)";"2018";"     0.4"
"Other";"Population 6 years or older";"Value";"Zeeland (PV)";"2019";"     0.3"
"Other";"Population 6 years or older";"Value";"Zeeland (PV)";"2020";"       ."
"Other";"Population 6 years or older";"Value";"Zeeland (PV)";"2021";"     0.6"
"Other";"Population 6 years or older";"Value";"Zeeland (PV)";"2022";"     0.5"
"Other";"Population 6 years or older";"Value";"Zeeland (PV)";"2023";"     0.3"
"Other";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2018";"     3.1"
"Other";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2019";"     2.3"
"Other";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2020";"     1.6"
"Other";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2021";"     2.0"
"Other";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2022";"     2.7"
"Other";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2023";"     1.8"
"Other";"Population 6 years or older";"Value";"Limburg (PV)";"2018";"     1.0"
"Other";"Population 6 years or older";"Value";"Limburg (PV)";"2019";"     1.1"
"Other";"Population 6 years or older";"Value";"Limburg (PV)";"2020";"     0.7"
"Other";"Population 6 years or older";"Value";"Limburg (PV)";"2021";"     0.8"
"Other";"Population 6 years or older";"Value";"Limburg (PV)";"2022";"     0.6"
"Other";"Population 6 years or older";"Value";"Limburg (PV)";"2023";"     0.7"
"Other";"Population 6 years or older";"Value";"Extremely urbanised";"2018";"     2.7"
"Other";"Population 6 years or older";"Value";"Extremely urbanised";"2019";"     2.9"
"Other";"Population 6 years or older";"Value";"Extremely urbanised";"2020";"     1.8"
"Other";"Population 6 years or older";"Value";"Extremely urbanised";"2021";"     2.3"
"Other";"Population 6 years or older";"Value";"Extremely urbanised";"2022";"     2.2"
"Other";"Population 6 years or older";"Value";"Extremely urbanised";"2023";"     2.3"
"Other";"Population 6 years or older";"Value";"Strongly urbanised";"2018";"     4.6"
"Other";"Population 6 years or older";"Value";"Strongly urbanised";"2019";"     4.9"
"Other";"Population 6 years or older";"Value";"Strongly urbanised";"2020";"     3.5"
"Other";"Population 6 years or older";"Value";"Strongly urbanised";"2021";"     4.2"
"Other";"Population 6 years or older";"Value";"Strongly urbanised";"2022";"     4.9"
"Other";"Population 6 years or older";"Value";"Strongly urbanised";"2023";"     3.9"
"Other";"Population 6 years or older";"Value";"Moderately urbanised";"2018";"     2.9"
"Other";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"     3.1"
"Other";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"     2.0"
"Other";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"     2.2"
"Other";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"     2.8"
"Other";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"     2.3"
"Other";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"     5.3"
"Other";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"     5.0"
"Other";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"     3.4"
"Other";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"     4.5"
"Other";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"     3.8"
"Other";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"     3.3"
"Other";"Population 6 years or older";"Value";"Not urbanised";"2018";"     2.0"
"Other";"Population 6 years or older";"Value";"Not urbanised";"2019";"     2.1"
"Other";"Population 6 years or older";"Value";"Not urbanised";"2020";"     1.5"
"Other";"Population 6 years or older";"Value";"Not urbanised";"2021";"     1.4"
"Other";"Population 6 years or older";"Value";"Not urbanised";"2022";"     1.3"
"Other";"Population 6 years or older";"Value";"Not urbanised";"2023";"     1.6"
